title, studio, total_gross, total_gross_theaters, opening, opening_theaters, open
30 Minutes or Less, Sony, $37053924, 2888, $13330118, 2888, 8/12/2011
30 Years of Garbage: The Garbage Pail Kids Story, Indic., $26715, 2, $5030, 2, 8/11/2017
30 Years to Life, Inn., $103540, 6, $3376, 1, 6/7/2002
30-Love, N/A, $4392, 1, n/a, n/a, 9/29/2017
300, WB, $210614939, 3280, $70885301, 3103, 3/9/2007
The 300 Spartans, Fox, n/a, n/a, n/a, n/a, Aug 1962
3000 Miles to Graceland, WB, $15749959, 2545, $7160521, 2545, 2/23/2001
300: Rise of An Empire, WB, $106580051, 3490, $45038460, 3470, 3/7/2014
31, Saban, $779820, 538, n/a, n/a, 8/26/2016
The 33, WB, $12227722, 2452, $5787266, 2452, 11/13/2015
35 and Ticking, Imag., $113794, 6, $29808, 6, 5/20/2011
35 Shots of Rum, CGld, $177511, 5, $9576, 1, 9/16/2009
35 Up, Gold., $922872, 21, $13690, 1, 1/15/1992
36 Hours, MGM, n/a, n/a, n/a, n/a, 1/28/1965
36 Saints, AFP, $11640, 9, $7373, 9, 9/6/2013
360, Magn., $100343, 12, $12186, 2, 8/3/2012
39 Pounds of Love, Bal., $28195, 8, $4217, 1, 11/23/2005
The 39 Steps, Gaum., n/a, n/a, n/a, n/a, 8/1/1935
3:10 to Yuma (1957), Col., n/a, n/a, n/a, n/a, 8/7/1957
3:10 to Yuma (2007), LGF, $53606916, 3006, $14035033, 2652, 9/7/2007
The 3rd Animation Celebration, EXPe, $1289551, n/a, n/a, n/a, 12/21/1990
4, Leis., $20523, 1, $5815, 1, 4/7/2006
4 Days in France, CGld, $11432, 2, $3728, 1, 8/4/2017
4 Little Girls, GV, $130146, 4, $13528, 1, 7/9/1997
4 Months 3 Weeks 2 Days, IFC, $1198208, 47, $51712, 2, 1/25/2008
40 Days and 40 Nights, Mira., $37950822, 2399, $12229529, 2225, 3/1/2002
The 40-Year-Old Virgin, Uni., $109449237, 3006, $21422815, 2845, 8/19/2005
The 400 Blows, ZIF, n/a, n/a, n/a, n/a, 11/16/1959
42, WB, $95020213, 3405, $27487144, 3003, 4/12/2013
42 Up, FRun, $300880, 5, $11599, 1, 11/17/1999
42nd Street, WB, n/a, n/a, n/a, n/a, 3/9/1933
44 Inch Chest, Imag., $39033, 5, $4185, 1, 1/15/2010
45 Years, IFC, $4247285, 251, $65775, 3, 12/23/2015
45365, 7Arts, $853, 1, $107, 1, 2/26/2010
47 Meters Down, ENTMP, $44307192, 2471, $11205561, 2270, 6/16/2017
47 Ronin, Uni., $38362475, 2690, $9910310, 2689, 12/25/2013
48 HRS., Par., $78868508, 1050, $4369868, 850, 12/10/1982
49 Up, FRun, $241772, 21, $53277, 21, 10/6/2006
49th Parallel, Col., n/a, n/a, n/a, n/a, 3/5/1942
4:44: Last Day on Earth, IFC, $17801, 3, $8355, 3, 3/23/2012
The 4th Animation Celebration, EXPe, $181273, 4, $35216, 4, 4/1/1992
The 4th Tenor, Wine, $2152, 2, $2152, 2, 11/22/2002
5 Broken Cameras, KL, $109983, 9, $6674, 1, 5/30/2012
5 Days of War, Anch., $17479, 6, $6254, 2, 8/19/2011
5 Flights Up, Focus, $1020921, 94, $238491, 87, 5/8/2015
5 to 7, IFC, $162685, 27, $18006, 2, 4/3/2015
50 First Dates, Sony, $120908074, 3612, $39852237, 3591, 2/13/2004
50 to 1, 10F, $1064454, 133, $78480, 19, 3/21/2014
50 Ways of Saying Fabulous, Olive, $4800, 1, $4800, 1, 6/2/2006
50/50, Sum., $35014192, 2479, $8644095, 2458, 9/30/2011
51 Birch Street, Truly, $84689, 6, $10827, 2, 10/18/2006
52 Pick-Up, Can., $5186646, 730, $1654835, 730, 11/7/1986
52 Tuesdays, KL, n/a, n/a, $1828, 1, 4/3/2015
54, Mira., $16757163, 1869, $6611532, 1859, 8/28/1998
56 Up, FRun, $701278, 33, $22088, 1, 1/4/2013
The 5th Quarter, RM, $408159, 123, $202342, 123, 3/25/2011
The 5th Wave, Sony, $34916787, 2908, $10326356, 2908, 1/22/2016
5x2, Think, $128752, 5, $15667, 2, 6/10/2005
6 Days, VE, n/a, n/a, n/a, n/a, 8/18/2017
6 Month Rule, SIP, $14057, 3, $1963, 1, 6/1/2012
6 Souls, RTWC, n/a, 54, n/a, 54, 4/5/2013
6 Years, Orch., n/a, n/a, n/a, n/a, 8/18/2015
600 Millas, N/A, n/a, n/a, n/a, n/a, TBD
The 6th Day, Sony, $34604280, 2516, $13020883, 2516, 11/17/2000
The 6th Man, BV, $14772788, 1231, $4128178, 1227, 3/28/1997
7 Boxes, BGP, $38106, 7, $6447, 6, 2/7/2014
7 Chinese Brothers, Scre., $28180, 8, n/a, n/a, 8/28/2015
7 Dias, Xen., $16791, 8, $10548, 8, 8/17/2007
7 From Etheria, PDF, $2208, 2, $940, 1, 7/7/2017
7 Khoon Maaf, UTV, $270207, 68, $164153, 65, 2/18/2011
7 Minutes, SM, n/a, n/a, n/a, n/a, 6/26/2015
7 Witches, Indic., $31100, 4, $1875, 1, 4/21/2017
'71, RAtt., $1270847, 121, $55761, 4, 2/27/2015
71 Into the Fire, JS, $176638, 20, $77161, 20, 7/30/2010
7500, CBS, n/a, n/a, n/a, n/a, TBD
78/52: Hitchcock's Shower Scene, IFC, $37664, 22, $3738, 1, 10/13/2017
7th Street, PAc., $15629, 1, $6354, 1, 1/17/2003
8 1/2 (re-issue), Kino, $98760*, 1, $11947, 1, 4/9/1999
8 1/2 Women, Lions, $424123, 30, $92000, 16, 5/26/2000
8 Films to Die For (2015), ADF, n/a, 11, n/a, 11, 10/16/2015
8 Heads in a Duffel Bag, Orion, $3602884, 1553, $2024516, 1553, 4/18/1997
8 Mile, Uni., $116750901, 2585, $51240555, 2470, 11/8/2002
8 Million Ways to Die, TriS, $1305114, 215, $609955, 215, 4/25/1986
8 Seconds, NL, $19623396, 838, $3369037, 836, 2/25/1994
8 Women, Focus, $3098776, 85, $52489, 3, 9/6/2002
800 Bullets, TLA, $866, 2, $866, 2, 10/29/2004
84 Charing Cross Road, Col., $1083486, 24, $24350, 1, 2/13/1987
88 Minutes, Sony, $17213467, 2168, $6957216, 2168, 4/18/2008
8: The Mormon Proposition, RF, $100280, 16, $42566, 16, 6/18/2010
8MM, Sony, $36663315, 2370, $14252888, 2370, 2/26/1999
9, Focus, $31749894, 2060, $10740446, 1661, 9/9/2009
9 1/2 Weeks, MGM, $6735922, 28, $328804, 28, 2/21/1986
9 Songs, Tar., $66853, 3, $13457, 1, 7/22/2005
9 to 5, Fox, $103290500, n/a, $3966832, 910, 12/19/1980
9/11, ADC, $170000, 425, $170000, 425, 9/8/2017
90 Minutes in Heaven, Gold., $4842699, 899, $2035273, 878, 9/11/2015
95 Miles to Go, Think, $3195, 2, $2203, 2, 4/7/2006
976-Evil, NL, $2955917, 251, $794049, 251, 3/24/1989
99 Homes, BG, $1411927, 691, $32253, 2, 9/25/2015
99% - The Occupy Wall Street Collaborative Film, Part., n/a, n/a, n/a, n/a, 9/6/2013
[Rec] 2, Magn., $27766, 7, $8191, 5, 7/9/2010
The A-Team, Fox, $77222099, 3544, $25669455, 3535, 6/11/2010
A.C.O.D., TFA, $175705, 42, $19001, 3, 10/4/2013
A.I. Artificial Intelligence, WB, $78616689, 3242, $29352630, 3242, 6/29/2001
A Aa, BSC, $2313043, 115, $1213057, 115, 6/1/2016
Aaja Nachle, Yash, $484108, 66, $257500, 66, 11/30/2007
