title, studio, total_gross, total_gross_theaters, opening, opening_theaters, open
The Adventures of Elmo in Grouchland, Sony, $11683047, 1210, $3255033, 1210, 10/1/1999
The Adventures of Felix, Wells, $363409, 8, $13275, 1, 6/15/2001
The Adventures of Ford Fairlane, Fox, $21413502, 1263, $6374391, 1245, 7/13/1990
The Adventures of Huck Finn, BV, $24103594, 1803, $5033029, 1786, 4/2/1993
The Adventures of Marco Polo, MGM, n/a, n/a, n/a, n/a, 4/15/1938
The Adventures of Mark Twain, Atl, $849915, 221, $226525, 221, 1/17/1986
The Adventures of Milo and Otis, Col., $2948215*, 239, $470084, 239, 8/25/1989
Adventures of Milo and Otis (Re-issue), Col., $10351534*, 915, $1708915, 914, 6/15/1990
The Adventures of Pinocchio, NL, $15094530, 1879, $3832551, 1779, 7/26/1996
The Adventures of Pluto Nash, WB, $4420080, 2320, $2182900, 2320, 8/16/2002
Adventures of Power, Vari., $17419, 3, $4254, 2, 10/9/2009
The Adventures of Priscilla Queen of the Desert, Gram., $11220670, 192, $219433, 7, 8/10/1994
The Adventures of Rocky & Bullwinkle, Uni., $26005820, 2482, $6814270, 2460, 6/30/2000
The Adventures of Sebastian Cole, ParC, $100841, 7, $12598, 7, 8/6/1999
The Adventures of Sharkboy and Lavagirl in 3D, Dim., $39177684, 2655, $12582088, 2655, 6/10/2005
The Adventures of Tintin, Par., $77591831, 3087, $9720993, 3087, 12/21/2011
Advise & Consent, Col., n/a, n/a, n/a, n/a, 6/6/1962
The Advocate, Mira., $602329, 17, $30892, 3, 8/24/1994
The Advocate: A Missing Body, CJ, $50162, 9, $19770, 9, 10/23/2015
Ae Dil Hai Mushkil, FIP, $4264983, 302, $2190042, 302, 10/28/2016
Aeon Flux, Par., $25874337, 2608, $12661112, 2608, 12/2/2005
Aferim!, BWP, $108110, 8, $15892, 5, 1/22/2016
An Affair of Love, FL, $359050, 19, $30281, 4, 8/11/2000
The Affair of the Necklace, WB, $471210, 40, $125523, 18, 11/30/2001
The Afflicted, Noct., $212940, 13, $90272, 13, 10/21/2011
Afflicted (2014), CBS, $121179, 44, $69447, 44, 4/4/2014
Affliction, Lions, $6330054, 335, $63979, 3, 12/30/1998
Afghan Star, Zeit., $102115, 5, $3671, 1, 6/26/2009
Afraid of the Dark, FL, $53932, n/a, n/a, n/a, 7/24/1992
Africa's Elephant Kingdom (IMAX), Imax, $13485455, 15, $114105, 14, 5/1/1998
Africa: The Serengeti (IMAX), N/A, n/a, n/a, n/a, n/a, 4/1/1994
African Cats, BV, $15428747, 1224, $6003200, 1220, 4/22/2011
The African Queen, UA, n/a, n/a, n/a, n/a, 12/23/1951
After, N/A, $24544, 1, $6333, 1, 9/9/2011
After Dark's Horror Fest: 8 Films to Die For, Free, $2575000, 488, $2310680, 488, 11/17/2006
After Dark's Horrorfest 2, ADF, $874635, 323, $502148, 323, 11/9/2007
After Dark My Sweet, Ave, $2678414, 153, $244919, 30, 8/24/1990
After Earth, Sony, $60522097, 3401, $27520040, 3401, 5/31/2013
After Freedom, Vita., $35639, 2, $11456, 2, 5/14/2004
After Hours, WB, $10609321, 503, $45435, 1, 9/13/1985
After Innocence, NYer, $114264, 4, $10194, 1, 10/21/2005
After Life, AL, $801985, 11, $11791, 1, 5/14/1999
After Love, Distrib., $13693, 5, $810, 1, 8/9/2017
After Midnight, Avat., $50469, 3, $7634, 2, 12/3/2004
After Midnight, MGM, $76325, 224, $59260, 224, 11/3/1989
After School, MovE, $3967, n/a, n/a, n/a, 9/23/1988
After The Ball, Free, $161820, 43, $31718, 41, 2/27/2015
After the Cup: Sons of Sakhnin United, Vari., $11538, 3, $2501, 1, 5/21/2010
After the Life: Trilogy 3, Magn., $27256, 3, $5198, 1, 2/13/2004
After the Storm, FM, $272132, 38, $27880, 6, 3/17/2017
After the Sunset, NL, $28331233, 2819, $11100392, 2819, 11/12/2004
After the Thin Man, MGM, n/a, n/a, n/a, n/a, 12/25/1936
After the Wedding, IFC, $1534584, 55, $47311, 5, 3/30/2007
After the Wizard, BGP, $3184, 2, $2527, 2, 8/10/2012
After Tiller, Osci., $72125, 6, $15500, 2, 9/20/2013
After Words, L33, n/a, 10, n/a, 10, 8/21/2015
After.Life, Anch., $108595, 41, $59946, 41, 4/9/2010
Afterglow, SPC, $2465960, 353, $50052, 7, 12/26/1997
Afterimage, FM, $33443, 6, $5832, 1, 5/19/2017
The Afterlight, CP, $3059, 1, $1466, 1, 9/10/2010
Aftermath (2014), Free, $3451, 1, $1124, 1, 11/28/2014
Afternoon Delight, TFA, $174496, 39, $27352, 2, 8/30/2013
Afternoon of a Faun, KL, $172450, 11, $15292, 2, 2/5/2014
Afterschool, IFC, $3911, 1, $2606, 1, 10/2/2009
Aftershock, RTWC, $58510, 110, $40179, 110, 5/10/2013
Aftershock (Tangshan Dadizhen), CL, $62962, 25, $19329, 25, 10/29/2010
Against All Flags, Uni., n/a, n/a, n/a, n/a, 12/24/1952
Against All Odds, Col., $21689062, 979, $3766128, 976, 3/2/1984
Against the Ropes, Par., $5884190, 1601, $3038546, 1601, 2/20/2004
Against the Sun, TAFC, $4646, 11, $3023, 11, 1/23/2015
Agatha, WB, $7500000, n/a, n/a, n/a, 2/9/1979
The Age of Adaline, LGF, $42629776, 3070, $13203458, 2991, 4/24/2015
The Age of Innocence, Col., $32255440, 839, $2317289, 83, 9/17/1993
The Age of Shadows, CJ, $541719, 33, $165685, 33, 9/23/2016
Age of Uprising: The Legend of Michael Kohlhaas (U.S. only), MBox, $3313, 4, n/a, n/a, 5/30/2014
Agent Cody Banks, MGM, $47938330, 3369, $14064317, 3369, 3/14/2003
Agent Cody Banks 2: Destination London, MGM, $23630159, 2973, $8014005, 2973, 3/12/2004
Agent Vinod, Eros, $698210, 122, $427043, 122, 3/23/2012
The Aggressives, 7Art, $6533, 1, $3769, 1, 10/7/2005
Agneepath, Eros, $1986748, 132, $1140464, 132, 1/26/2012
Agnes and His Brothers, FRun, $2731, 1, $1544, 1, 6/9/2006
Agnes Browne, USA, $148853, 21, $6322, 2, 12/3/1999
Agnes of God, Col., $25627836, 646, $221552, 8, 9/13/1985
Agnivarsha - The Fire and the Rain, Cineb., $51549, 8, $18887, 8, 8/30/2002
The Agony and the Ecstasy, Fox, n/a, n/a, n/a, n/a, 10/7/1965
Agora, NM, $619423, 17, $33262, 2, 5/28/2010
The Agronomist, Think, $226189, 21, $30855, 7, 4/23/2004
Ahead of Time, Vita., $33024, 3, $12790, 1, 9/10/2010
Ai Weiwei: Never Sorry, IFC, $534100, 37, $41104, 5, 7/27/2012
Ai Weiwei: The Fake Case, ICir, $45255, 8, $5066, 1, 5/16/2014
Aida at La Scala, Emr., $222927, 52, $97874, 52, 12/9/2007
Aida's Secrets, MBox, $73359, 9, $5665, 1, 10/20/2017
Aileen: The Life and Death of a Serial Killer, Lant, $97362, 6, $16158, 3, 1/9/2004
Aimee & Jaguar, Zeit., $927107, 16, $42919, 7, 8/11/2000
Ain't In It For My Health: A Film About Levon Helm, KL, $113966, 10, $7937, 1, 4/19/2013
Ain't Them Bodies Saints, IFC, $396519, 44, $26419, 3, 8/16/2013
Air America, TriS, $31053601, 1902, $8064480, 1902, 8/10/1990
Air Bud, BV, $23144499, 1795, $4878632, 1795, 8/1/1997
Air Bud: Golden Receiver, Mira., $10224116, 1669, $2603726, 1669, 8/14/1998
Air Force, WB, n/a, n/a, n/a, n/a, 2/3/1943
Air Force One, Sony, $172956409, 2981, $37132505, 2919, 7/25/1997
Air Guitar Nation, Shad., $71471, 10, $7035, 1, 3/23/2007
The Air I Breathe, Think, $25775, 7, $19487, 7, 1/25/2008
Air Racers 3D, 3D, $1309987, 10, n/a, n/a, 4/6/2012
The Air Up There, Mira., $21011318, 1721, $5240859, 1507, 1/7/1994
Airborne, WB, $2850263, 982, $1262239, 982, 9/17/1993
Airheads, Fox, $5751882, 1229, $1911739, 1228, 8/5/1994
Airplane II: The Sequel, Par., $27150534, 1300, $5329208, 1150, 12/10/1982
Airplane!, Par., $83453539, n/a, n/a, n/a, 6/27/1980
Airport, Uni., $100489151, n/a, n/a, n/a, 3/5/1970
Airport '77, Uni., n/a, n/a, n/a, n/a, 3/11/1977
Airport 1975, Uni., n/a, n/a, n/a, n/a, 10/18/1974
Aitraaz, Zee, $91998, 24, n/a, n/a, 11/12/2004
Ajami, Kino, $622403, 23, $35792, 3, 2/3/2010
AKA, Emp., $49988, 3, $7553, 3, 12/12/2003
Akeelah and the Bee, LGF, $18848430, 2195, $6011585, 2195, 4/28/2006
Akira, Stl., $439162*, 2, $11263, 2, 12/25/1989
Akira (Re-issue), Pio., $114009*, 1, $22428, 1, 3/30/2001
Akira Kurosawa's Dreams, WB, $1963207, n/a, n/a, n/a, 8/24/1990
Al Franken: God Spoke, Bal., $102990, 10, $10533, 2, 9/13/2006
Alabama Moon, N/A, $47305, 7, $6568, 7, 3/18/2011
Aladdin, BV, $217350219, 2331, $196664, 2, 11/13/1992
Aladdin (2019), BV, n/a, n/a, n/a, n/a, 5/24/2019
Alamar, FM, $61613, 3, $7668, 1, 7/14/2010
The Alamo (1960), UA, n/a, n/a, n/a, n/a, 10/24/1960
The Alamo (2004), BV, $22414961, 2609, $9124701, 2609, 4/9/2004
Alan Partridge: The Movie, Magn., $153426, 22, $12664, 3, 4/4/2014
An Alan Smithee Film: Burn Hollywood Burn, BV, $45779, 19, $28992, 19, 2/27/1998
The Alarmist, Lions, $59864, 11, $7787, 1, 10/16/1998
Alaska, Sony, $11829959, 1566, $2914992, 1566, 8/14/1996
Albatross, IFC, n/a, 1, n/a, 1, 1/13/2012
Albert Nobbs, RAtt., $3014696, 245, $696088, 245, 1/27/2012
Albino Alligator, Mira., $339379, 12, $101176, 12, 1/17/1997
Alex and Emma, WB, $14218698, 2310, $6111074, 2310, 6/20/2003
Alex Cross, LG/S, $25888412, 2541, $11396768, 2539, 10/19/2012
Alex of Venice, Scre., n/a, n/a, n/a, n/a, 4/17/2015
Alex Rider: Operation Stormbreaker, Wein., $677646, 221, n/a, 120, 10/6/2006
Alexander, WB, $34297191, 2445, $13687087, 2445, 11/24/2004
Alexander and the Terrible Horrible No Good Very Bad Day, BV, $66954149, 3117, $18360230, 3088, 10/10/2014
Alexander the Great, UA, n/a, n/a, n/a, n/a, 3/28/1956
Alexandra, CGld, $128222, 4, $9401, 1, 3/26/2008
Alexandra's Project, All., $752148, 29, $37078, 10, 12/19/2003
Alfie, Par., $13399812, 2215, $6218335, 2215, 11/5/2004
Alfredo Alfredo, Par., n/a, n/a, n/a, n/a, Dec 1973
The Algerian, Hann., n/a, n/a, n/a, n/a, 6/26/2015
Algorithms, FRun, $2021, 1, $317, 1, 10/17/2014
Ali, Sony, $58203105, 2521, $14710892, 2446, 12/25/2001
Alias Betty, Wells, $208400, 8, $23929, 4, 9/13/2002
The Alibi, IDP, n/a, n/a, n/a, n/a, N/A
Alice, Orion, $7331647, 325, $36274, 3, 12/25/1990
Alice Adams, RKO, n/a, n/a, n/a, n/a, 8/23/1935
Alice Doesn't Live Here Anymore, WB, $18600000, n/a, n/a, n/a, 12/9/1974
Alice et Martin, USA, $500896, 20, $51294, 8, 7/21/2000
Alice in Wonderland (1951), RKO, n/a, n/a, n/a, n/a, 7/28/1951
Alice in Wonderland (2010), BV, $334191110, 3739, $116101023, 3728, 3/5/2010
Alice Neel, SeeT, $48969, 1, $6207, 1, 4/20/2007
Alice Through the Looking Glass, BV, $77041381, 3763, $26858726, 3763, 5/27/2016
Alice's House (A Casa de Alice), Vita., $61822, 6, $19083, 6, 1/25/2008
Alien, Fox, $78944891*, 757, $3527881, 91, 5/25/1979
Alien 3, Fox, $55473545, 2227, $19449867, 2227, 5/22/1992
Alien Abduction, IFC, $12897, 13, $10514, 13, 4/4/2014
Alien Adventure (IMAX), NWav, $8959784, 10, $38410, 4, 8/20/1999
Alien Arrival, VE, n/a, n/a, n/a, n/a, 6/23/2017
Alien Love Triangle, N/A, n/a, n/a, n/a, n/a, TBD
Alien Nation, Fox, $25216243, 1436, $8421429, 1430, 10/7/1988
Alien Resurrection, Fox, $47795658, 2449, $16474092, 2415, 11/26/1997
Alien Trespass, RAtt., $104526, 40, $43437, 40, 4/3/2009
Alien Vs. Predator, Fox, $80282231, 3401, $38291056, 3395, 8/13/2004
Alien: Covenant, Fox, $74262031, 3772, $36160621, 3761, 5/19/2017
Alien: The Director's Cut, Fox, $1986910*, 347, $1023665, 347, 10/29/2003
Aliens, Fox, $85160248, 1454, $10052042, 1437, 7/18/1986
Aliens in the Attic, Fox, $25200412, 3108, $8008423, 3106, 7/31/2009
Aliens of the Deep (IMAX), BV, $8968684, 27, $479368, 27, 1/28/2005
Aliens Vs. Predator - Requiem, Fox, $41797066, 2617, $10059425, 2611, 12/25/2007
Alila, Kino, $50961, 4, $3063, 1, 2/27/2004
Alita: Battle Angel, Fox, n/a, n/a, n/a, n/a, 7/20/2018
Alive, BV, $36733909, 1337, $8624292, 1132, 1/15/1993
Alive and Kicking, Magn., $68485, 11, $12201, 11, 4/7/2017
Alive Inside, B360, $256682, 20, $7200, 1, 7/18/2014
Aliyah, FM, $8253, 2, $1627, 1, 6/14/2013
All About Eve, Fox, n/a*, n/a, n/a, n/a, 10/13/1950
All About Eve (re-issue), FoxS, $63463*, 1, $10177, 1, 10/6/2000
All About Evil, PC, $7995, 1, $5070, 1, 7/9/2010
All About Lily Chou-Chou, Cow., $26485, 2, $3064, 1, 7/12/2002
All About My Mother, SPC, $8272296, 145, $50362, 4, 11/5/1999
All About Steve, Fox, $33862903, 2265, $11241214, 2251, 9/4/2009
All About the Benjamins, NL, $25916319, 1519, $10007291, 1505, 3/8/2002
All Access: Front Row. Backstage. Live! (IMAX), Imax, $992683, 35, $69992, 33, 4/6/2001
All Babes Want to Kill Me, HCF, $11975, 1, $1831, 1, 2/16/2005
All Dogs Go to Heaven, UA, $27100027, 1591, $4712834, 1577, 11/17/1989
All Dogs Go to Heaven 2, MGM, $8620678, 2037, $2256118, 2037, 3/29/1996
All Eyez on Me, LG/S, $44922302, 2471, $26435354, 2471, 6/16/2017
All Good Things, Magn., $582024, 35, $37172, 2, 12/3/2010
All Hat, All., $15198, 2, n/a, n/a, 1/18/2008
All I Desire, Uni., n/a, n/a, n/a, n/a, Jul 1953
All I See is You, ORF, $217644, 283, $144076, 283, 10/27/2017
All I Wanna Do, Red., $5838*, 1, $3799, 1, 3/24/2000
All I Want for Christmas, Par., $14812144, 1507, $3645720, 1507, 11/8/1991
All is Bright, Anch., $4556, 10, $4556, 10, 10/4/2013
All Is Lost, RAtt., $6263670, 483, $93583, 6, 10/18/2013
All My Loved Ones, N.Arts, $6237, 1, $3222, 1, 8/16/2002
All Night Long, Uni., $4454295, n/a, $1392852, 362, 3/6/1981
All of Me, Uni., $36403064, 1200, $5803848, 1192, 9/21/1984
All or Nothing, UA, $201546, 16, $25890, 7, 10/25/2002
All Over Me, FL, $292577, n/a, n/a, n/a, 4/25/1997
All Over the Guy, Lions, $1022324, 35, $41606, 7, 8/10/2001
All Quiet on the Western Front, Uni., n/a, n/a, n/a, n/a, 4/21/1930
All Roads Lead Home, Wald., $43907, 46, $31785, 46, 9/26/2008
All Saints, Sony, $5802208, 846, $1514278, 846, 8/25/2017
All That Heaven Allows, Uni., n/a, n/a, n/a, n/a, Dec 1955
All That Jazz, Fox, $37823676, n/a, $86229, 5, 12/20/1979
All the Best, Yash, $120713, 55, $96054, 55, 10/16/2009
All the Boys Love Mandy Lane, RTWC, n/a, n/a, n/a, n/a, 10/11/2013
All the King's Men, Sony, $7221458, 1520, $3672366, 1514, 9/22/2006
All the Little Animals, Lions, $26558, 10, n/a, n/a, 9/3/1999
All the Marbles, MGM, $6468195, n/a, n/a, n/a, 10/16/1981
All the Money in the World, TriS, n/a, n/a, n/a, n/a, 12/22/2017
All the President's Men, WB, $70600000, n/a, n/a, n/a, 4/7/1976
All the Pretty Horses, Mira., $15540353, 1593, $1304971, 1483, 12/25/2000
All the Queen's Horses, Argo., $13709, 1, $6573, 1, 11/10/2017
All the Queen's Men, Strand, $23662, 17, $15026, 17, 10/25/2002
All The Rage: Saved by Sarno, TFC, $18489, 1, $9765, 1, 6/23/2017
All the Real Girls, SPC, $549666, 25, $39417, 6, 2/14/2003
All the Right Moves, Fox, $17233166, 909, $1625486, 442, 10/21/1983
All These Sleepless Nights, Orch., $20762, 5, n/a, 3, 4/7/2017
All Things Fair, PFM, $13128, 1, $4530, 1, 3/8/1996
All Things Must Pass, Grav., $172394, 14, $19001, 2, 10/16/2015
All Together, KL, $43180, 10, $12887, 10, 10/19/2012
All You Need Is Love, Da., n/a, n/a, n/a, n/a, 10/31/2014
All's Faire in Love, Hann., $22180, 75, $16440, 75, 10/28/2011
All's Well End's Well (2012), CL, $47919, 20, $23250, 20, 1/27/2012
Allah Made Me Funny, N/A, $66903, 14, $38867, 14, 10/3/2008
Allan Quatermain and the Lost City of Gold, Can., $3751699, 1000, $1960352, 1000, 1/30/1987
Allegheny Uprising, RKO, n/a, n/a, n/a, n/a, 11/10/1939
Allegro, ICir, $7404, 1, $505, 1, 5/9/2007
Alleluia, MBox, $6334, 3, $2712, 3, 7/17/2015
Allied, Par., $40098064, 3160, $12701743, 3160, 11/23/2016
The Allnighter, Uni., $2700000, 977, $1419581, 977, 5/1/1987
Almost an Angel, Par., $6939946, 1373, $1608365, 1373, 12/22/1990
Almost Christmas, Uni., $42065185, 2379, $15134235, 2376, 11/11/2016
Almost Famous, DW, $32534850, 2262, $2314646, 131, 9/15/2000
Almost Friends, Grav., n/a, n/a, n/a, n/a, 11/17/2017
Almost Heroes, WB, $6136856, 2048, $2837928, 2048, 5/29/1998
Almost Holy, Orch., $21142, 10, $4195, 5, 5/20/2016
Almost Human, IFC, $8447, 5, $2722, 2, 2/21/2014
Almost in Love, Argo., $2510, 1, $1110, 1, 2/15/2013
The Almost Man, BWP, n/a, n/a, n/a, n/a, 8/1/2014
Almost Peaceful, Emp., $106184, 3, $10020, 1, 8/20/2004
An Almost Perfect Affair, Par., $85493, n/a, n/a, n/a, 4/27/1979
Almost Salinas, Strt, $21419, 4, $7593, 4, 5/9/2003
Almost Sunrise, Argo., n/a, n/a, n/a, n/a, 7/14/2017
Almost You, Fox, $95000, n/a, n/a, n/a, 3/29/1985
Aloft, SPC, $53086, 17, $2116, 2, 5/22/2015
Aloha, Sony, $21067116, 2815, $9670235, 2815, 5/29/2015
Aloha Summer, Spec., $418379, 123, n/a, n/a, 2/26/1988
Alone in Berlin, IFC, $33125, 5, $8869, 2, 1/13/2017
Alone in the Dark, Lions, $5178569, 2124, $2834421, 2124, 1/28/2005
Alone with Her, IFC, $10787, 2, $5555, 1, 1/17/2007
Alone Yet Not Alone, S/IMA, $887851, 103, $125775, 11, 9/27/2013
Along Came a Spider, Par., $74078174, 2573, $16712407, 2530, 4/6/2001
Along Came Polly, Uni., $88097164, 3052, $27721185, 2984, 1/16/2004
Along the Roadside, Indic., $1352, n/a, $965, n/a, 3/27/2015
Along with the Gods: The Two Worlds, WGUSA, n/a, n/a, n/a, n/a, 12/22/2017
Alpha, Sony, n/a, n/a, n/a, n/a, 3/2/2018
Alpha and Omega, LGF, $25107267, 2625, $9106906, 2625, 9/17/2010
Alpha Dog, Uni., $15309602, 1292, $6412775, 1289, 1/12/2007
Alphabet City, Atl, $7035585, 321, $1172292, 321, 5/4/1984
The Alphabet Killer, Anch., $29784, 2, $11000, 1, 11/7/2008
Alphaville (2013 re-release), Rialto, $47696, 2, $7298, 1, 2/7/2014
Alps, KL, $16057, 3, $2628, 2, 7/13/2012
Already Tomorrow in Hong Kong, Grav., $21206, 11, $14966, 10, 2/12/2016
Altered, Rog., n/a, n/a, n/a, n/a, N/A
Altered States, WB, $19853892, n/a, $174650, 3, 12/25/1980
Altiplano, FRun, $2961, 1, $1269, 1, 8/20/2010
Alvin and the Chipmunks, Fox, $217326974, 3499, $44307417, 3475, 12/14/2007
Alvin and the Chipmunks: Chipwrecked, Fox, $133110742, 3734, $23244744, 3723, 12/16/2011
Alvin and the Chipmunks: The Road Chip, Fox, $85886987, 3705, $14287159, 3653, 12/18/2015
Alvin and the Chipmunks: The Squeakquel, Fox, $219614612, 3747, $48875415, 3700, 12/23/2009
Always, Uni., $43858790, 1206, $3713480, 1016, 12/22/1989
Always Kabhi Kabhi, Eros, $21381, 29, $14570, 29, 6/17/2011
Always Shine, Osci., $17102, 15, $4211, 1, 11/25/2016
Amadeus, Orion, $51564280*, 802, $505276, 25, 9/21/1984
Amadeus (Director's Cut), WB, $408749*, 18, $86764, 18, 4/5/2002
Amanda & Jack Go Glamping, Grav., n/a, n/a, n/a, n/a, 11/10/2017
Amandla!, Art., $405331, 16, $14181, 1, 2/19/2003
Amarcord, Jan., $126250, 2, n/a, n/a, N/A
The Amateur, Fox, $6892098, 437, $1052963, 437, 2/12/1982
Amateur, SPC, $757088, n/a, n/a, n/a, 5/19/1995
The Amateurs, First, $16334, 4, $10149, 3, 12/7/2007
The Amati Girls, Prov., $49136, 97, $33902, 97, 1/19/2001
The Amazing Catfish, Strand, $11342, 3, $733, 1, 6/13/2014
An Amazing Couple: Trilogy 2, Magn., $47806, 2, $8572, 1, 2/6/2004
Amazing Grace, IDP, $21250683, 1162, $4054542, 791, 2/23/2007
Amazing Grace and Chuck, TriS, n/a, n/a, n/a, n/a, 4/10/1987
The Amazing Panda Adventure, WB, $7506759, 1692, $2413107, 1692, 8/25/1995
The Amazing Spider-Man, Sony, $262030663, 4318, $62004688, 4318, 7/3/2012
The Amazing Spider-Man 2, Sony, $202853933, 4324, $91608337, 4324, 5/2/2014
The Amazing Spider-Man 3, Sony, n/a, n/a, n/a, n/a, TBD
The Amazing Spider-Man 4, Sony, n/a, n/a, n/a, n/a, TBD
The Amazing Truth About Queen Raquela, Reg., $5597, 2, $2700, 2, 9/26/2008
Amazon Women on the Moon, Uni., $548696, 50, $171723, 50, 9/18/1987
The Ambassador, Drft., $28102, 8, $13046, 4, 8/29/2012
Ambassador Bill, Fox, n/a, n/a, n/a, n/a, 11/13/1931
Ambrose Bierce: Civil War Stories, ScrL, $22918, 1, $4402, 1, 9/14/2006
Amelia, FoxS, $14245415, 1070, $3904047, 820, 10/23/2009
Amelia 2.0, TriCoast, $10233, 1, $7836, 1, 8/4/2017
Amelie, Mira., $33225499, 303, $136470, 3, 11/2/2001
Amen, Kino, $274299, 9, $16284, 5, 1/24/2003
America (2014), LGF, $14444502, 1105, $38608, 3, 6/27/2014
America Betrayed, FRun, $1311, 1, $245, 1, 3/27/2009
America the Beautiful, FInd., $76173, 5, $6760, 1, 5/9/2008
America the Beautiful 2: The Thin Commandments, PMKBNC, $12366, 3, $5599, 3, 10/14/2011
America's Heart and Soul, BV, $314402, 98, $134939, 98, 7/2/2004
America's Sweethearts, SonR, $93607673, 3011, $30181877, 3011, 7/20/2001
America: Freedom to Fascism, CLS, $87400, 10, $61200, 10, 7/28/2006
The American, Focus, $35606376, 2833, $13177790, 2823, 9/1/2010
American Adobo, Outr., $344992, 7, $41001, 3, 1/25/2002
An American Affair, Scre., $28044, 2, $11700, 2, 2/27/2009
American Animal, Scre., $5928, 1, $5928, 1, 5/18/2012
American Anthem, Col., $4845724, 900, $1867969, 900, 6/27/1986
American Assassin, LGF, $36249674, 3154, $14846778, 3154, 9/15/2017
American Beauty, DW, $130096601, 1990, $861531, 16, 9/15/1999
American Buffalo, Gold., $665450, 73, $164109, 29, 9/13/1996
American Cannibal, Life, $16566, 1, $4778, 1, 3/16/2007
An American Carol, Viv., $7013191, 1639, $3656000, 1639, 10/3/2008
American Casino, Argo., $50437, 3, $1397, 1, 8/14/2009
American Chai, Magic, $127518, 5, $23230, 5, 4/5/2002
An American Crime, First, n/a, n/a, n/a, n/a, N/A
American Desi, Eros, $907835, 38, $305054, 38, 3/16/2001
American Dream, Mira., $269823, 7, $9291, 2, 3/18/1992
American Dreamer, WB, $5021751, 801, $1580990, 801, 10/26/1984
American Dreamz, Uni., $7191830, 1500, $3667420, 1500, 4/21/2006
American Fable, IFC, n/a, n/a, n/a, n/a, 2/17/2017
American Flyers, WB, $1420355, 5, $78345, 5, 8/16/1985
The American Friend, NYer, n/a, n/a, n/a, n/a, 9/26/1977
American Friends, Castle, $23034, 3, $5334, 2, 4/9/1993
American Gangster, Uni., $130164645, 3110, $43565135, 3054, 11/2/2007
American Gigolo, Par., $22743674, n/a, $3559930, 570, 2/1/1980
American Graffiti, Uni., $115000000, n/a, n/a, n/a, 8/1/1973
American Grindhouse, Lorb., $5529, 2, n/a, n/a, 6/18/2010
American Gun, IFC, $24098, 6, $9355, 4, 3/22/2006
American Hardcore, SPC, $279665, 19, $18102, 1, 9/22/2006
An American Haunting, Free, $16298046, 1703, $5783508, 1675, 5/5/2006
American Heart, Trit, $384048, 8, $5549, 1, 5/7/1993
American History X, NL, $6719864, 513, $156076, 17, 10/30/1998
American Honey, A24, $663246, 135, $71203, 4, 9/30/2016
American Hot Wax, Par., $7932571, n/a, n/a, n/a, 3/17/1978
American Hustle, Sony, $150117807, 2629, $740455, 6, 12/13/2013
An American in Paris, MGM, n/a, n/a, n/a, n/a, 10/4/1951
American Made, Uni., $51111000, 3098, $16776390, 3024, 9/29/2017
American Made Movie, Vari., $45175, 6, $1613, 2, 8/30/2013
American Madness, Col., n/a, n/a, n/a, n/a, 8/4/1932
American Me, Uni., $13086430, 830, $3378100, 830, 3/13/1992
American Meat, LB, $10650, 1, $7659, 1, 4/12/2013
American Movie, SPC, $1165795, 29, $20260, 2, 11/5/1999
American Mustang, Vita., $48700, 3, $7906, 1, 1/17/2014
American Ninja, Can., $10499694, 672, $3234837, 672, 8/30/1985
American Ninja 2, Can., $4000000, 397, $1039301, 397, 5/1/1987
American Ninja 3: Blood Hunt, Can., $902152, 140, $222252, 140, 2/24/1989
American Ninja 4: The Annihilation, Can., $358047, 171, $277462, 171, 3/8/1991
American Outlaws, WB, $13342790, 2348, $4855475, 2348, 8/17/2001
American Pastoral, LGF, $544098, 70, $149038, 50, 10/21/2016
American Pie, Uni., $102561004, 2544, $18709680, 2508, 7/9/1999
American Pie 2, Uni., $145103595, 3157, $45117985, 3063, 8/10/2001
American Pimp, 7Art, $287724, 9, $28699, 5, 6/9/2000
American Pop, Col., n/a, n/a, n/a, n/a, 2/13/1981
The American President, Sony, $60079496, 1508, $10014558, 1508, 11/17/1995
American Promise, RFG, $146702, 8, $18300, 2, 10/18/2013
American Psycho, Lions, $15070285, 1242, $4961015, 1236, 4/14/2000
American Reunion, Uni., $57011521, 3203, $21514080, 3192, 4/6/2012
An American Rhapsody, ParC, $850255, 54, $40200, 7, 8/10/2001
